CustomerID,Age,HomeOwner,ResidenceLength,DwellingType,Gender,Marital,HouseholdSize,ChildPresent,Child0.5,Child6.12,Child13.18,Income,Occupation,HomeValue,MagazineStatus,PaidDirectMailOrders,YearsSinceLastOrder,TotalAmountPaid,PoundsPerIssue,TotalPaidOrders,MonthsSinceLastPayment,LastPaymentType,UnpaidMagazines,PaidCashMagazines,PaidReinstateMagazines,PaidCreditMagazines,ActiveSubscriptions,ExpiredSubscriptions,RequestedCancellations,NoPayCancellations,PaidComplaints,GiftDonor,NumberGiftDonations,MonthsSince1stOrder,MonthsSinceLastOrder,MonthsSinceExpire,Renewal
21959,47,100,5,S,M,M,2,Y,65,45,100,156000,U,9,O,0,10,134.0,0.8,10,99,A,0,2,0,0,0,3,0,0,0,Y,3,188,99,50,No
3650,75,100,14,S,F,M,3,Y,0,0,100,137500,M,9,O,1,9,55.0,0.92,3,62,A,0,1,0,0,0,1,0,0,0,N,0,252,62,38,No
30977,62,100,14,S,F,M,4,N,0,0,0,202000,R,8,E,0,3,9.99,0.8,1,37,A,0,2,0,1,0,3,0,0,0,N,0,49,37,23,No
13305,54,100,5,M,F,M,5,Y,0,100,0,106000,M,3,O,0,7,138.97,1.58,7,115,A,0,2,0,0,0,2,0,0,0,N,0,312,115,91,Yes
23324,41,100,7,S,M,M,6,Y,100,100,100,203000,W,8,O,1,10,50.0,0.79,3,115,A,0,2,0,0,0,2,0,0,0,N,0,138,115,90,No
30816,65,100,14,S,F,M,1,Y,0,0,0,62500,H,1,O,1,10,44.0,0.73,2,71,A,0,1,0,0,0,1,0,0,0,N,0,114,71,47,No
443,31,20,1,S,M,S,1,Y,100,25,15,61000,U,3,E,0,10,88.0,2.75,1,71,A,0,2,0,0,0,1,0,1,0,N,0,71,71,19,No
287,31,20,2,M,F,S,2,Y,100,55,65,17000,U,3,A,1,3,29.0,0.28,3,56,F,0,1,0,1,1,1,0,1,0,N,0,67,67,51,No
19597,40,100,14,S,F,M,6,Y,45,65,45,104000,R,3,E,0,1,23.0,0.64,2,48,M,0,1,0,0,0,1,0,0,0,N,0,49,48,12,No
38827,72,0,4,S,F,S,1,N,25,0,35,7000,W,2,A,7,2,145.3,0.45,12,1,A,0,4,0,0,2,2,0,0,0,N,0,293,45,8,No
22786,36,100,2,S,F,M,5,Y,0,15,35,160000,U,9,E,1,1,57.97,0.55,4,22,A,0,1,0,1,0,2,0,0,0,N,0,141,108,71,No
23784,46,100,6,S,M,M,3,Y,100,100,45,32000,B,2,O,1,8,83.0,1.41,3,109,1,0,1,0,1,0,2,0,0,0,N,0,96,96,60,Yes
2394,78,100,9,S,F,S,4,Y,0,100,100,17000,B,4,E,1,4,90.04,0.71,7,47,A,0,4,0,1,0,3,1,1,0,N,0,165,96,59,No
29170,46,100,8,S,F,M,3,Y,45,45,100,98000,U,3,O,0,12,19.0,0.79,1,121,A,0,1,0,0,0,2,0,0,0,N,0,147,121,97,No
24661,39,100,11,S,F,M,6,Y,100,100,100,152000,W,1,E,1,5,18.97,0.22,1,64,0,1,0,0,1,0,2,0,1,0,N,0,66,42,30,No
18127,69,100,14,S,F,M,4,N,45,45,45,117000,M,6,O,0,7,28.0,0.92,1,94,1,0,0,0,1,0,1,0,0,0,N,0,95,95,63,No
18294,41,100,8,S,F,M,3,Y,100,45,45,76000,M,3,O,0,10,0.0,0.92,0,88,A,0,1,0,0,0,1,0,0,0,N,0,88,88,73,No
31292,64,100,11,S,M,M,3,N,25,25,35,388000,W,9,O,0,8,19.0,1.58,1,113,A,0,1,0,0,0,1,0,0,0,N,0,113,113,101,No
34849,32,100,3,S,F,S,2,Y,100,35,25,23000,U,6,O,0,5,0.0,1.04,0,50,A,0,2,0,0,0,2,0,0,0,N,0,63,50,37,No
1173,38,50,14,S,F,M,2,Y,35,100,45,76000,B,4,E,0,3,403.85,0.78,9,41,A,0,5,0,0,0,6,0,0,0,Y,3,312,216,100,No
11380,61,100,14,S,F,M,5,N,45,55,45,103000,W,4,E,2,4,60.01,0.54,5,59,1,0,0,0,1,0,1,0,0,0,Y,1,348,60,23,No
10892,74,100,7,S,F,M,2,N,45,65,45,25000,R,3,A,5,5,290.5,0.76,25,26,A,0,3,0,1,1,3,0,0,0,Y,12,201,46,34,No
3826,72,100,14,S,M,M,2,N,15,0,35,70000,R,5,C,1,8,85.97,0.56,5,113,1,1,1,0,1,0,2,1,0,0,N,0,258,114,77,No
20849,64,100,14,S,F,M,3,N,45,55,35,22000,M,2,E,0,0,0.0,0.0,1,24,A,0,1,0,0,0,1,0,0,0,N,0,24,24,11,No
14840,70,100,14,S,F,M,4,N,0,15,45,92000,W,5,O,1,10,20.0,0.56,1,80,4,0,0,0,1,0,1,0,0,0,N,0,84,84,45,No
16855,43,100,9,S,F,M,2,Y,100,100,100,157000,W,8,O,0,8,59.94,1.0,3,93,A,0,2,1,0,0,3,0,0,0,N,0,93,93,68,No
