CustomerID,Age,HomeOwner,ResidenceLength,DwellingType,Gender,Marital,HouseholdSize,ChildPresent,Child0.5,Child6.12,Child13.18,Income,Occupation,HomeValue,MagazineStatus,PaidDirectMailOrders,YearsSinceLastOrder,TotalAmountPaid,PoundsPerIssue,TotalPaidOrders,MonthsSinceLastPayment,LastPaymentType,UnpaidMagazines,PaidCashMagazines,PaidReinstateMagazines,PaidCreditMagazines,ActiveSubscriptions,ExpiredSubscriptions,RequestedCancellations,NoPayCancellations,PaidComplaints,GiftDonor,NumberGiftDonations,MonthsSince1stOrder,MonthsSinceLastOrder,MonthsSinceExpire,Renewal,StudentID
34888,61,100,2,S,F,M,1,N,0,0,0,187500,U,9,O,0,6,22,0.92,1,63,A,0,1,0,0,0,1,0,0,0,N,0,63,63,40,No,2417549
26019,39,100,5,S,F,M,3,Y,100,100,100,151000,M,9,E,1,2,20.5,0.54,2,4,A,0,1,0,1,0,2,0,0,0,N,0,75,75,39,No,2417549
28239,40,100,5,M,M,S,4,Y,55,45,100,66000,U,3,O,0,6,17.39,0.7,2,97,A,0,1,0,0,0,1,0,0,0,N,0,183,97,84,No,2417549
36141,75,100,14,S,F,M,6,N,15,0,45,7000,R,2,E,0,4,66,1.83,1,51,A,0,1,0,0,0,1,0,0,0,N,0,51,51,15,No,2417549
19270,30,100,4,S,F,M,5,Y,25,35,45,94000,W,1,O,0,5,22,1.47,1,57,A,0,1,0,0,0,1,0,0,0,N,0,63,57,42,No,2417549
19371,28,100,5,S,F,S,2,U,45,15,15,40000,U,6,E,0,10,56,1.17,1,61,A,0,1,0,0,0,1,0,0,0,N,0,61,61,13,No,2417549
23389,45,100,14,S,F,M,3,Y,100,65,100,126000,H,6,B,0,7,46,0.9,3,75,A,1,2,0,0,0,3,0,1,0,N,0,114,114,84,No,2417549
9323,54,100,14,S,F,M,6,Y,45,35,100,55000,W,3,O,2,10,33.85,0.92,2,100,A,0,1,1,0,0,2,0,0,0,N,0,250,100,85,No,2417549
32874,38,100,1,M,F,S,5,Y,0,0,100,87500,M,2,O,0,9,22,0.92,1,86,A,0,1,0,0,0,1,0,0,0,N,0,86,86,61,No,2417549
34737,44,100,1,S,F,S,3,Y,0,25,15,83000,M,3,O,0,8,0,0.83,0,64,A,0,1,0,0,0,1,0,0,0,N,0,64,64,49,No,2417549
